course_code,units,title,description
PER 023,4 units,Intermediate Persian,"Integrated presentation of listening, speaking, reading and writing skills as well as cultural topics in Intermediate Persian."
PER 097T,1-5 units,Tutoring in Persian,"Tutoring in undergraduate courses, including leadership in small voluntary discussion groups affiliated with departmental courses."
PER 098,1-5 units,Directed Group Study,Directed group study.
PER 099,1-5 units,Special Study for Undergraduates,Special study.
PER 101,4 units,Advanced Persian: Topics in Modern Persian Culture 1900-Present,"Integrated work on reading, listening, discussion and writing about modern Persian cultural production using fiction and poetry as well as cinema and theory."
PER 103,4 units,Advanced Persian: Topics in Medieval Persian Culture 900-1500,"Integrated work on reading, listening, discussion, writing about medieval Persian culture with a focus on lyric and narrative poetry and representative selections of literary prose, rhetoric, biography, history, religious and philosophical discourse."
PER 121,4 units,Media,Advanced Persian and Persian culture through modern print and digital media. Perspectives on cultural and social issues with an emphasis on recent events.
PER 122,4 units,Poetry,"Advanced Persian and Persian culture through the work of classical and modern poets such as Ferdowsi, Rumi, Hafez, Nima Yushij, Forugh Farrokhzad, and Ahmad Shamlu. Concepts of the self, society, and world view of major poets with films and TV for social context."
PER 123,4 units,Prose Writers,"Advanced Persian and Persian culture through short stories and essays by modern Persian writers such as Bozorg Alavi, Ali Shariati, Simin Daneshvar, Jalal Al-e Ahmad, Moniro Ravanipour, and Goli Taraghi."
PER 197T,1-5 units,Tutoring in Persian,"Tutoring in undergraduate courses, including leadership in small voluntary discussion groups affiliated with departmental courses."
PER 297,1-5 units,Directed Independent Study,Directed graduate independent study on a topic culminating in a term paper. Independent Study may only be arranged with consent of the instructor when graduate seminars are unavailable. Topic varies by instructor.
PER 396,1-4 units,Teaching Assistant Training Practicum,Teaching practicum.
PTX 201,5 units,Principles of Pharmacology & Toxicology I,"First of three courses presenting fundamental principles of pharmacology and toxicology. Introductory overview of basic concepts in pharmacology/toxicology, followed by in-depth blocks on fate processes of chemicals in the body, fate processes in tissue selective responses, selective toxicity employed therapeutically."
PTX 202,4 units,Principles of Pharmacology & Toxicology II,Second of three courses presenting fundamental principles of pharmacology and toxicology. Principles of pharmacodynamics and mechanisms of drug/toxicant actions.
PTX 203,4 units,Principles of Pharmacology & Toxicology III,"Integrated physiological systems, cardiovascular and nervous systems and how drugs and toxicants act to perturb function."
PTX 215,3 units,Electrophysiology Techniques & Applications,Broad scope of topics in electrophysiology techniques and applications.
PTX 230,1-3 units,Advanced Topics in Pharmacology & Toxicology,In-depth coverage of selected topics for graduate students in Pharmacology-Toxicology and related disciplines. Topics determined by instructor in charge for each quarter.
PTX 277,3 units,Molecular Mechanisms in Cancer & other Diseases,"Exploration of cutting edge investigations on the underlying mechanisms of cancer biology, cancer therapy and other diseases. Current medical research in cancer and other diseases, as it spans the bench to bedside."
PTX 290,1 unit,Seminar,Current topics in pharmacology and toxicology.
PTX 290C,1 unit,Advanced Research Conference,Provide credit for participation in and attendance at research conferences.
PTX 299,1-12 units,Research,Research with a faculty member in the Pharmacology & Toxicology Graduate Group.
PHI 001,4 units,Introduction to Philosophy,"Problems of philosophy through major writings from various periods. Problems are drawn from political, aesthetic, religious, metaphysical, and epistemological concerns of philosophy."
PHI 005,4 units,Critical Reasoning,Criteria of good reasoning in everyday life and in science. Topics to be covered may include basic principles of deduction and induction; fallacies in reasoning; techniques and aids to reasoning; principles of scientific investigation; aids to clarity.
PHI 007,3 units,Philosophical Perspectives on Sexuality,"Philosophical issues related to sexuality, including, but not limited to, ethical and social issues regarding sexual practice, orientation, classification and identity."
PHI 007Y,3 units,Philosophical Perspectives on Sexuality,"Philosophical issues related to sexuality, including, but not limited to, ethical and social issues regarding sexual practice, orientation, classification and identity."
PHI 010,4 units,Introduction to Cognitive Science,"Introduction to the interdisciplinary cognitive scientific approach to the study of mind, drawing concepts and methods from psychology, philosophy, linguistics, artificial intelligence, and other disciplines."
PHI 011,4 units,Asian Philosophy,"Survey of the main philosophical systems of south and east Asia: Hinduism, Buddhism, Confucianism, and Taoism. Topics include the nature of reality, including God, the universe and the human self, human knowledge, and the proper conduct of human life."
PHI 012,4 units,Introduction to Symbolic Logic,Syntax and semantics of the symbolic language sentence logic. Symbols of sentence logic. Translation between sentence logic and English. Truth table interpretation of sentence logic. Proof techniques. Application of truth tables and proof techniques to arguments in English.
PHI 013,3 units,"Minds, Brains, & Computers","Computational theories of the nature of the mind. Mind as a computer process. Possibility of machine intelligence, consciousness, and mentality."
PHI 013G,4 units,"Minds, Brains, & Computers with Discussion","Computational theories of the nature of the mind. Mind as a computer process. Possibility of machine intelligence, consciousness, and mentality."
PHI 014,4 units,Ethical & Social Problems in Contemporary Society,"Philosophical issues and positions involved in contemporary moral and social problems. Possible topics include civil disobedience and revolution, racial and sex discrimination, environment, population control, technology and human values, sexual morality, freedom in society."
PHI 015,4 units,Introduction to Bioethics,"Critical analysis of normative issues raised by contemporary medicine and biology. Possible topics include euthanasia, reproductive technologies, genetic engineering, informed consent and patient autonomy, experimentation on human subjects and non-human animals."
PHI 016,4 units,Philosophical Foundations of American Democracy,The philosophical underpinnings of democratic government and the tension between the goals of providing security and of preserving democracy and civil liberties. Illustration of the tension through focus on issues related to war and terrorism.
